Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-36.96	46.44
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-36.92	42.99
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-36.90	43.09
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-36.84	42.33
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-36.78	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-36.69	44.76
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-36.37	45.97
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-36.36	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-35.76	45.26
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-35.30	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-35.12	43.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_15_01.avi	-35.07	41.14
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-12_52_34.avi	-35.02	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-34.77	45.30
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-34.62	44.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151221\IN study with the NCC 0.015g in 1ml water -21_12_2015-11_58_04.avi	-34.52	43.98
