Temp(Kelvin), Jhet(1/(cm^2*s)), ns(1/cm^2), FrozenFraction
 2.49200e+02, 3.05413e+03, 3.66496e+03, 7.31164e-03
 2.49000e+02, 4.09985e+03, 8.58478e+03, 1.70428e-02
 2.48900e+02, 5.18765e+03, 1.48100e+04, 2.92192e-02
 2.48600e+02, 5.21812e+03, 2.10717e+04, 4.13151e-02
 2.48400e+02, 1.17311e+04, 3.51490e+04, 6.79608e-02
 2.48200e+02, 1.88169e+04, 5.77293e+04, 1.09163e-01
 2.48000e+02, 1.84305e+04, 7.98459e+04, 1.47753e-01
 2.47800e+02, 1.56887e+04, 9.86724e+04, 1.79282e-01
 2.47600e+02, 3.31891e+04, 1.38499e+05, 2.42190e-01
 2.47400e+02, 2.93636e+04, 1.73736e+05, 2.93815e-01
 2.47300e+02, 3.80598e+04, 2.19407e+05, 3.55531e-01
 2.47100e+02, 2.44473e+04, 2.48744e+05, 3.92298e-01
 2.46800e+02, 3.07411e+04, 2.85633e+05, 4.35568e-01
 2.46700e+02, 4.56249e+04, 3.40383e+05, 4.94175e-01
 2.46400e+02, 3.79213e+04, 3.85889e+05, 5.38227e-01
 2.46200e+02, 3.18955e+04, 4.24163e+05, 5.72294e-01
 2.46000e+02, 1.91817e+04, 4.47181e+05, 5.91560e-01
 2.45900e+02, 3.15179e+04, 4.85003e+05, 6.21350e-01
 2.45600e+02, 1.66442e+04, 5.04976e+05, 6.36194e-01
 2.45400e+02, 2.03064e+04, 5.29344e+05, 6.53519e-01
 2.45200e+02, 2.16587e+04, 5.55334e+05, 6.71089e-01
 2.45000e+02, 1.93192e+04, 5.78517e+05, 6.86008e-01
 2.44900e+02, 1.33595e+04, 5.94548e+05, 6.95928e-01
 2.44600e+02, 1.70081e+04, 6.14958e+05, 7.08104e-01
 2.44500e+02, 2.18633e+04, 6.41194e+05, 7.23042e-01
 2.44300e+02, 1.12811e+04, 6.54731e+05, 7.30449e-01
 2.44000e+02, 3.58585e+04, 6.97762e+05, 7.52701e-01
 2.43800e+02, 2.54134e+04, 7.28258e+05, 7.67350e-01
 2.43600e+02, 3.15471e+04, 7.66114e+05, 7.84334e-01
 2.43400e+02, 4.42245e+04, 8.19184e+05, 8.06075e-01
 2.43200e+02, 2.70998e+04, 8.51703e+05, 8.18301e-01
 2.43000e+02, 2.93951e+04, 8.86977e+05, 8.30691e-01
 2.42800e+02, 4.51736e+04, 9.41186e+05, 8.48107e-01
 2.42600e+02, 2.81552e+04, 9.74972e+05, 8.58042e-01
 2.42400e+02, 3.03374e+04, 1.01138e+06, 8.68022e-01
 2.42300e+02, 7.07203e+04, 1.09624e+06, 8.88647e-01
 2.42000e+02, 5.03074e+04, 1.15661e+06, 9.01326e-01
 2.41800e+02, 2.15893e+04, 1.18252e+06, 9.06314e-01
 2.41500e+02, 8.65002e+04, 1.28632e+06, 9.23895e-01
 2.41200e+02, 2.67158e+04, 1.31838e+06, 9.28627e-01
 2.41100e+02, 2.92303e+04, 1.35345e+06, 9.33468e-01
 2.40700e+02, 1.49434e+04, 1.37138e+06, 9.35815e-01
 2.40400e+02, 3.06721e+04, 1.40819e+06, 9.40375e-01
 2.40300e+02, 5.18628e+04, 1.47043e+06, 9.47361e-01
 2.40000e+02, 1.87464e+04, 1.49292e+06, 9.49679e-01
 2.39800e+02, 1.95935e+04, 1.51643e+06, 9.51994e-01
 2.39600e+02, 2.00448e+04, 1.54049e+06, 9.54251e-01
 2.39400e+02, 2.14270e+04, 1.56620e+06, 9.56547e-01
 2.38700e+02, 2.32306e+04, 1.59408e+06, 9.58906e-01
 2.38500e+02, 5.02963e+04, 1.65443e+06, 9.63584e-01
 2.38200e+02, 1.90137e+05, 1.88260e+06, 9.76939e-01
 2.38000e+02, 1.36951e+05, 2.04694e+06, 9.83405e-01
 2.37900e+02, 6.41193e+04, 2.12388e+06, 9.85775e-01
 2.37700e+02, 1.58917e+05, 2.31458e+06, 9.90290e-01
 2.37400e+02, 5.15487e+05, 2.93317e+06, 9.97186e-01
