Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-35.78	41.06
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-35.69	42.32
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-35.68	36.45
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-35.57	38.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-35.43	38.80
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-35.21	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-35.20	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-35.20	36.09
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-35.10	36.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-34.95	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-34.95	36.80
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-34.95	40.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-16_04_17.avi	-34.90	40.15
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-13_21_45.avi	-34.84	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20151214\IN study with the NCC 0.0840g in 1ml water-14_12_2015-14_17_07.avi	-34.83	37.17
