Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-27.30	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-27.30	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-26.03	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.87	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.86	21.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-25.80	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.69	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.63	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-25.60	34.68
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.52	31.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-25.50	40.86
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.47	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.41	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.41	32.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.28	30.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.26	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.22	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.20	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.20	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-25.20	39.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.18	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-25.16	37.33
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.12	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-25.10	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-25.10	39.02
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.09	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.09	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.05	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.04	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.04	36.52
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.01	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.01	31.87
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.01	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-25.01	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-13_50_32.avi	-24.97	41.16
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.93	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.92	39.84
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.90	30.93
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.90	33.47
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.90	39.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-24.90	38.42
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-24.90	38.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.89	21.79
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.89	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.87	36.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.87	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.87	41.77
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.85	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.84	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.84	35.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-24.83	37.25
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.81	34.67
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.80	32.46
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.80	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.80	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-24.80	36.87
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.77	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.77	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.73	42.04
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.70	34.78
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.70	32.38
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.70	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.70	36.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.70	37.23
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-11_12_42.avi	-24.70	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-12_25_15.avi	-24.70	37.28
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-13_50_32.avi	-24.70	43.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160119\ATD IN study-19_01_2016-10_28_56.avi	-24.69	32.69
