Drop Information	Freeze Temperature	Diameter (microns)
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.90	31.77
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.87	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.85	35.60
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.85	36.57
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.85	37.18
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.80	36.35
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.80	37.21
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.80	37.75
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.80	38.31
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.80	31.45
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.80	35.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.70	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_48_35.avi	-24.70	41.05
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	27.24
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	29.96
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	35.95
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.70	38.13
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.70	33.11
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.65	38.15
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.63	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_48_35.avi	-24.63	41.37
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.60	36.19
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_48_35.avi	-24.60	42.28
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.60	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.60	36.66
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.60	36.94
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.60	36.98
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.60	37.63
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.57	35.41
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.57	35.62
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.56	36.81
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.56	39.59
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.55	36.90
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-11_19_38.avi	-24.54	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.54	31.58
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.54	35.74
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_41_39.avi	-24.54	40.78
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.53	24.51
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.53	32.69
E:\Box Sync\LabBox\Naama Reicher\WISDOM Measurements_Naama\20160120\K-Feldspar INUIT IN study FA 04-20_01_2016-13_11_27.avi	-24.53	35.84
