Temp(Kelvin), Jhet(1/(cm^2*s)), ns(1/cm^2), FrozenFraction
 2.44700e+02, 1.91531e+00, 2.29837e+01, 9.14966e-04
 2.43400e+02, 7.66906e+00, 1.15012e+02, 4.57019e-03
 2.43200e+02, 3.84946e+00, 1.61206e+02, 6.39987e-03
 2.43000e+02, 5.78647e+00, 2.30644e+02, 9.14391e-03
 2.42600e+02, 1.93243e+00, 2.53833e+02, 1.00586e-02
 2.42400e+02, 3.87251e+00, 3.00303e+02, 1.18891e-02
 2.42200e+02, 1.93831e+00, 3.23562e+02, 1.28040e-02
 2.42000e+02, 5.82458e+00, 3.93457e+02, 1.55483e-02
 2.41800e+02, 7.77628e+00, 4.86773e+02, 1.92003e-02
 2.41600e+02, 1.95113e+00, 5.10186e+02, 2.01144e-02
 2.41200e+02, 1.95286e+00, 5.33621e+02, 2.10286e-02
 2.41000e+02, 1.17339e+01, 6.74428e+02, 2.65033e-02
 2.40800e+02, 1.96519e+00, 6.98010e+02, 2.74172e-02
 2.40600e+02, 1.57797e+01, 8.87366e+02, 3.47244e-02
 2.40400e+02, 3.96241e+00, 9.34915e+02, 3.65507e-02
 2.40200e+02, 1.98371e+00, 9.58719e+02, 3.74637e-02
 2.39800e+02, 1.19457e+01, 1.10207e+03, 4.29433e-02
 2.39600e+02, 5.99498e+00, 1.17401e+03, 4.56816e-02
 2.39400e+02, 6.01232e+00, 1.24616e+03, 4.84198e-02
 2.39200e+02, 6.03014e+00, 1.31852e+03, 5.11583e-02
 2.39000e+02, 2.62425e+01, 1.63343e+03, 6.29845e-02
 2.38800e+02, 3.07808e+01, 2.00280e+03, 7.66681e-02
 2.38600e+02, 7.10621e+01, 2.85554e+03, 1.07500e-01
 2.38400e+02, 4.73288e+01, 3.42349e+03, 1.27462e-01
 2.38200e+02, 9.76866e+01, 4.59573e+03, 1.67262e-01
 2.38000e+02, 1.14242e+02, 5.96663e+03, 2.11511e-01
 2.37800e+02, 1.69383e+02, 7.99923e+03, 2.72826e-01
 2.37600e+02, 2.80622e+02, 1.13667e+04, 3.64096e-01
 2.37400e+02, 3.90725e+02, 1.60554e+04, 4.72416e-01
 2.37200e+02, 6.65965e+02, 2.40470e+04, 6.16238e-01
 2.37000e+02, 8.39197e+02, 3.41173e+04, 7.43034e-01
 2.36800e+02, 1.29675e+03, 4.96784e+04, 8.61733e-01
 2.36600e+02, 1.72930e+03, 7.04299e+04, 9.39496e-01
 2.36400e+02, 2.27943e+03, 9.77831e+04, 9.79646e-01
 2.36200e+02, 3.66132e+03, 1.41719e+05, 9.96462e-01
